CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC SYNONYM.NEW CCCCCCCCCCCCCCC/
CC                                                                    /
CC                BADA SYNONYM FILE                                   /
CC                                                                    /
CC                                                                    /
CC      File_name: SYNONYM.NEW                                        /
CC                                                                    /
CC      Creation_date: Apr 30 2002                                    /
CC                                                                    /
CC      Modification_date: May 09 2019                                /
CC                                                                    /
CC                                                                    /
CC====== Aircraft List ===============================================/
CC                                                                    /
CC   A/C    MANUFACTURER        NAME OR MODEL             FILE   ICAO /
CD - BE58   BEECHCRAFT          Baron 58                 BE58__  Y    /
CD * BE60   BEECH               60 Duke                  C414__  Y    /
CD * BE65   BEECH               65 Queen Air             C414__  Y    /
CD * BE70   BEECH               70 Queen Air             C414__  Y    /
CD - BE76   BEECH               Duchess 76               BE76__  Y    /
CD * BE77   BEECH               77 Skipper               C162__  Y    /
CD * BE80   BEECH               80 Queen Air             C414__  Y    /
CD * BE88   BEECH               88 Queen Air             C414__  Y    /
CD * BE95   BEECH               95 Travel Air            C210__  Y    /
CD - BE99   BEECH               99A Airliner             BE99__  Y    /
CD - BE9L   BEECHCRAFT          King Air E90             BE9L__  Y    /
CD * BE9T   BEECH               90 (F90) King Air        F406__  Y    /
CD * BEAR   R&B                 RB-4 Bearhawk            DA40__  Y    /
CD * BELF   SHORT               SC-5 Belfast             C130__  Y    /
CD - BER2   BERIEV              Be-200ES                 BER2__  Y    /
CD * BIRD   TAYLOR              TA-2/3 Bird              SVNH__  Y    /
CD * BL17   BELLANCA            17 Viking                TB21__  Y    /
CD * BL19   BELLANCA            19 Skyrocket             C340__  Y    /
CD * BL8    BELLANCA            8 Scout                  C182__  Y    /
CD * BLCF   BOEING              747-400LCF Dreamlifter   B77W__  Y    /
CD * BMAN   AAK                 Bushman                  MAGC__  Y    /
CD * BN2P   BRITTEN-NORMAN      BN-2 Islander            DA42__  Y    /
CD * BN2T   BRITTEN-NORMAN      BN-2T Turbine Islander   KODI__  Y    /
CD * BOLT   STEEN               Skybolt                  P28R__  Y    /
CD * BR60   BRUMBY              600                      C162__  Y    /
CD * BR61   BRUMBY              610 Evolution            C162__  Y    /
CD * BRAV   TECNAM              P-2004 Bravo             C162__  Y    /
CD * BREZ   AEROSTYLE           Breezer                  MAGC__  Y    /
CD * BROU   MAX HOLSTE          MH-1521 Broussard        C182__  Y    /
CD * BT36   BEECH               Bonanza B36TC            S22T__  Y    /
CD * BTX1   BOEING              BTX-1                    L39___  Y    /
